"FeatureID"	"ASV"
"0697f0bdeabc7ea532bc4d76a5947a0e"	"ASV371"
"10d8181a284d1d67d7c67bf6f66d913c"	"ASV372"
"7c7b50d541420152b26f35599ae7c9a6"	"ASV373"
"7dbf5a07aa17f367b3605aac3649fc2b"	"ASV374"
"3c2db3276e136e13c9e63fcd91f91861"	"ASV375"
"b791f63d96e2d3e568a4aeb5fd268185"	"ASV376"
"e75587276fe58b719b33e14295351fdb"	"ASV377"
"64e8c3039afece77bda504d95ffd57b5"	"ASV378"
"62d1530edc09204514d36ff6d7070800"	"ASV379"
"0ffc7ecd1d028ab628d54078741c2f3a"	"ASV380"
"e16123525651eedaa7119546c3ae57bc"	"ASV381"
"cd45b218a51aea2ca94989ad90a2af50"	"ASV382"
"7231a277d7392b57fc90750f7d14fbfc"	"ASV383"
"cd33d0b239663d82f1b3329213b6ce77"	"ASV384"
"ef6ca08e9e66474151956ad410122082"	"ASV385"
"b7f0183216fb7a84318dc467585c9212"	"ASV386"
"bd67b7b60122ffe90375b4263a032ea4"	"ASV387"
"a460f29ea7466b5a3ab6007db13aad7f"	"ASV388"
"db21b53cc6761e597923f579bbe42b37"	"ASV389"
"c1f46573c0636f03ebb20bfc1a5844d1"	"ASV390"
"ee700fb3f8eff544ebffa0d9426b49c4"	"ASV391"
"1946ac1e7643a902072c649a0379d73c"	"ASV392"
"4d480f50a07935025ba2129e2c229796"	"ASV393"
"0bd7d007f92e259fd72c26b66cb2e175"	"ASV394"
"5095599bd3ac00d1eebb3e324759bc74"	"ASV395"
"57852f8999410903a9a52fa06aa752f4"	"ASV396"
"42f513b7f4e35d454ef2957c8dbbc399"	"ASV397"
"3a301aca2bafbc4aefee2432a13b0695"	"ASV398"
"41f69a67910d9779935a0ba066f6494c"	"ASV399"
"796a3d12bceafd2c38fa8d3c55931d3f"	"ASV400"
"018684e1788e3085c56dfc9a4529e18d"	"ASV401"
"79bf97704495d4f2c9c7df4153ca53ed"	"ASV402"
